,region_texture,region,region_volume
0,Left-Cerebral-White-Matter,Left-Cerebral-White-Matter,lhCerebralWhiteMatterVol
1,Left-Lateral-Ventricle,Left-Lateral-Ventricle,Left-Lateral-Ventricle
2,Left-Inf-Lat-Vent,Left-Inf-Lat-Vent,Left-Inf-Lat-Vent
3,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter
4,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex
5,Left-Thalamus-Proper*,Left-Thalamus,Left-Thalamus
6,Left-Caudate,Left-Caudate,Left-Caudate
7,Left-Putamen,Left-Putamen,Left-Putamen
8,Left-Pallidum,Left-Pallidum,Left-Pallidum
9,3rd-Ventricle,3rd-Ventricle,3rd-Ventricle
10,4th-Ventricle,4th-Ventricle,4th-Ventricle
11,Brain-Stem,Brain-Stem,Brain-Stem
12,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus
13,Left-Amygdala,Left-Amygdala,Left-Amygdala
14,CSF,CSF,CSF
15,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area
16,Left-VentralDC,Left-VentralDC,Left-VentralDC
17,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus
18,Right-Cerebral-White-Matter,Right-Cerebral-White-Matter,rhCerebralWhiteMatterVol
19,Right-Lateral-Ventricle,Right-Lateral-Ventricle,Right-Lateral-Ventricle
20,Right-Inf-Lat-Vent,Right-Inf-Lat-Vent,Right-Inf-Lat-Vent
21,Right-Cerebellum-White-Matter,Right-Cerebellum-White-Matter,Right-Cerebellum-White-Matter
22,Right-Cerebellum-Cortex,Right-Cerebellum-Cortex,Right-Cerebellum-Cortex
23,Right-Thalamus-Proper*,Right-Thalamus,Right-Thalamus
24,Right-Caudate,Right-Caudate,Right-Caudate
25,Right-Putamen,Right-Putamen,Right-Putamen
26,Right-Pallidum,Right-Pallidum,Right-Pallidum
27,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus
28,Right-Amygdala,Right-Amygdala,Right-Amygdala
29,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area
30,Right-VentralDC,Right-VentralDC,Right-VentralDC
31,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus
32,WM-hypointensities,WM-hypointensities,WM-hypointensities
33,ctx-lh-caudalanteriorcingulate,lh-caudalanteriorcingulate,lh_caudalanteriorcingulate_volume
34,ctx-lh-caudalmiddlefrontal,lh-caudalmiddlefrontal,lh_caudalmiddlefrontal_volume
35,ctx-lh-cuneus,lh-cuneus,lh_cuneus_volume
36,ctx-lh-entorhinal,lh-entorhinal,lh_entorhinal_volume
37,ctx-lh-fusiform,lh-fusiform,lh_fusiform_volume
38,ctx-lh-inferiorparietal,lh-inferiorparietal,lh_inferiorparietal_volume
39,ctx-lh-inferiortemporal,lh-inferiortemporal,lh_inferiortemporal_volume
40,ctx-lh-isthmuscingulate,lh-isthmuscingulate,lh_isthmuscingulate_volume
41,ctx-lh-lateraloccipital,lh-lateraloccipital,lh_lateraloccipital_volume
42,ctx-lh-lateralorbitofrontal,lh-lateralorbitofrontal,lh_lateralorbitofrontal_volume
43,ctx-lh-lingual,lh-lingual,lh_lingual_volume
44,ctx-lh-medialorbitofrontal,lh-medialorbitofrontal,lh_medialorbitofrontal_volume
45,ctx-lh-middletemporal,lh-middletemporal,lh_middletemporal_volume
46,ctx-lh-parahippocampal,lh-parahippocampal,lh_parahippocampal_volume
47,ctx-lh-paracentral,lh-paracentral,lh_paracentral_volume
48,ctx-lh-parsopercularis,lh-parsopercularis,lh_parsopercularis_volume
49,ctx-lh-parsorbitalis,lh-parsorbitalis,lh_parsorbitalis_volume
50,ctx-lh-parstriangularis,lh-parstriangularis,lh_parstriangularis_volume
51,ctx-lh-pericalcarine,lh-pericalcarine,lh_pericalcarine_volume
52,ctx-lh-postcentral,lh-postcentral,lh_postcentral_volume
53,ctx-lh-posteriorcingulate,lh-posteriorcingulate,lh_posteriorcingulate_volume
54,ctx-lh-precentral,lh-precentral,lh_precentral_volume
55,ctx-lh-precuneus,lh-precuneus,lh_precuneus_volume
56,ctx-lh-rostralanteriorcingulate,lh-rostralanteriorcingulate,lh_rostralanteriorcingulate_volume
57,ctx-lh-rostralmiddlefrontal,lh-rostralmiddlefrontal,lh_rostralmiddlefrontal_volume
58,ctx-lh-superiorfrontal,lh-superiorfrontal,lh_superiorfrontal_volume
59,ctx-lh-superiorparietal,lh-superiorparietal,lh_superiorparietal_volume
60,ctx-lh-superiortemporal,lh-superiortemporal,lh_superiortemporal_volume
61,ctx-lh-supramarginal,lh-supramarginal,lh_supramarginal_volume
62,ctx-lh-transversetemporal,lh-transversetemporal,lh_transversetemporal_volume
63,ctx-lh-insula,lh-insula,lh_insula_volume
64,ctx-rh-caudalanteriorcingulate,rh-caudalanteriorcingulate,rh_caudalanteriorcingulate_volume
65,ctx-rh-caudalmiddlefrontal,rh-caudalmiddlefrontal,rh_caudalmiddlefrontal_volume
66,ctx-rh-cuneus,rh-cuneus,rh_cuneus_volume
67,ctx-rh-entorhinal,rh-entorhinal,rh_entorhinal_volume
68,ctx-rh-fusiform,rh-fusiform,rh_fusiform_volume
69,ctx-rh-inferiorparietal,rh-inferiorparietal,rh_inferiorparietal_volume
70,ctx-rh-inferiortemporal,rh-inferiortemporal,rh_inferiortemporal_volume
71,ctx-rh-isthmuscingulate,rh-isthmuscingulate,rh_isthmuscingulate_volume
72,ctx-rh-lateraloccipital,rh-lateraloccipital,rh_lateraloccipital_volume
73,ctx-rh-lateralorbitofrontal,rh-lateralorbitofrontal,rh_lateralorbitofrontal_volume
74,ctx-rh-lingual,rh-lingual,rh_lingual_volume
75,ctx-rh-medialorbitofrontal,rh-medialorbitofrontal,rh_medialorbitofrontal_volume
76,ctx-rh-middletemporal,rh-middletemporal,rh_middletemporal_volume
77,ctx-rh-parahippocampal,rh-parahippocampal,rh_parahippocampal_volume
78,ctx-rh-paracentral,rh-paracentral,rh_paracentral_volume
79,ctx-rh-parsopercularis,rh-parsopercularis,rh_parsopercularis_volume
80,ctx-rh-parsorbitalis,rh-parsorbitalis,rh_parsorbitalis_volume
81,ctx-rh-parstriangularis,rh-parstriangularis,rh_parstriangularis_volume
82,ctx-rh-pericalcarine,rh-pericalcarine,rh_pericalcarine_volume
83,ctx-rh-postcentral,rh-postcentral,rh_postcentral_volume
84,ctx-rh-posteriorcingulate,rh-posteriorcingulate,rh_posteriorcingulate_volume
85,ctx-rh-precentral,rh-precentral,rh_precentral_volume
86,ctx-rh-precuneus,rh-precuneus,rh_precuneus_volume
87,ctx-rh-rostralanteriorcingulate,rh-rostralanteriorcingulate,rh_rostralanteriorcingulate_volume
88,ctx-rh-rostralmiddlefrontal,rh-rostralmiddlefrontal,rh_rostralmiddlefrontal_volume
89,ctx-rh-superiorfrontal,rh-superiorfrontal,rh_superiorfrontal_volume
90,ctx-rh-superiorparietal,rh-superiorparietal,rh_superiorparietal_volume
91,ctx-rh-superiortemporal,rh-superiortemporal,rh_superiortemporal_volume
92,ctx-rh-supramarginal,rh-supramarginal,rh_supramarginal_volume
93,ctx-rh-transversetemporal,rh-transversetemporal,rh_transversetemporal_volume
94,ctx-rh-insula,rh-insula,rh_insula_volume
